timestamp,compression_number,z_value,esp_id,imu_number,ax,ay,az,gx,gy,gz
1772551344.334286,1,0.0,72454,2,1.125275,-0.110133,-11.434708,0.000266,0.02598,-0.03464
1772551344.339899,1,0.0,72454,3,0.545878,-0.871489,-11.793838,-0.287113,-0.152683,-0.004796
1772551344.3476353,1,0.0,72454,4,-0.081403,0.469264,-11.573571,0.018786,0.012923,-0.002132
1772551344.3617265,1,0.0,72483,1,0.833182,0.383072,-11.597513,0.011458,0.027579,-0.028645
1772551344.3712265,1,0.0,72483,2,1.072602,-0.124498,-11.377247,-0.016654,0.049296,-0.038237
1772551344.3814828,1,0.0,72483,3,0.550666,-0.708684,-11.611878,-0.309496,-0.187989,-0.008527
1772551344.3983781,1,0.0,72483,4,-0.162806,0.440533,-11.63582,0.016121,0.017054,-0.002531
1772551344.4361398,1,0.0,72512,1,0.723049,0.397437,-11.57836,0.014922,0.026913,-0.028778
1772551344.4487953,1,0.0,72512,2,1.01993,-0.172383,-11.305421,-0.018519,0.051161,-0.037571
1772551344.4585376,1,0.0,72512,3,0.411803,-0.612916,-11.554418,-0.277254,-0.181061,-0.014522
1772551344.4634895,1,0.0,72512,4,-0.081403,0.45011,-11.731588,0.013057,0.006528,-0.001998
1772551344.4683073,1,0.0,72541,1,0.756568,0.325611,-11.453861,0.00826,0.003331,-0.029977
1772551344.4732833,1,0.0,72541,2,1.005565,-0.129287,-11.247959,-0.012923,0.03504,-0.036239
1772551344.4786057,1,0.0,72541,3,0.483629,-0.545878,-11.650186,-0.24328,-0.16041,-0.015188
1772551344.4836335,1,0.0,72541,4,-0.062249,0.459687,-11.592725,0.006928,-0.006528,-0.003997
1772551344.4886262,1,0.0,72570,1,0.751779,0.397437,-11.51611,0.005729,0.009992,-0.030377
1772551344.4936364,1,0.0,72570,2,1.086968,-0.129287,-11.319786,-0.007061,0.036639,-0.037038
