compression_number,z_value,ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3,ax4,ay4,az4,gx4,gy4,gz4
1,88.5,987945,0.263362,0.387861,-11.525687,0.011724,-0.003064,-0.031576,0.047884,-0.383072,-11.286267,-0.017054,0.011325,-0.031443,-0.54109,-0.277727,-12.052411,-0.021983,0.015055,-0.021184,-0.641646,0.244209,-11.765107,-0.03464,0.010259,-0.001732
1,88.5,988014,0.445322,0.378284,-11.57836,-0.018919,0.007861,-0.031443,0.344765,-0.378284,-11.343728,-0.004397,0.007328,-0.032508,-0.35913,-0.320823,-11.449073,-0.06475,-0.009193,-0.016387,-0.651223,0.229843,-11.358093,-0.019319,-0.016254,-0.003064
1,88.0,988083,0.311246,0.335188,-11.405977,0.017054,0.019185,-0.032508,0.11971,-0.383072,-11.410766,-0.013856,0.015322,-0.033574,-0.502782,-0.282516,-11.985373,-0.021717,0.014123,-0.022116,-0.675165,0.296881,-11.903971,-0.031576,0.003597,-0.002665
1,88.0,988152,0.277727,0.373495,-11.410766,0.005995,0.029977,-0.032109,0.191536,-0.392649,-11.51611,0.006928,0.007194,-0.033041,-0.316035,-0.268151,-12.023681,-0.028911,0.020651,-0.021717,-0.507571,0.344765,-11.286267,-0.040103,0.020384,-0.001332
1,88.0,988221,0.536301,0.411803,-11.621455,-0.023848,-0.025714,-0.030643,0.339977,-0.392649,-11.271901,-0.010259,0.017453,-0.033041,-0.407014,-0.335188,-11.439496,-0.045832,-0.016387,-0.019052,-0.579397,0.196325,-11.506534,-0.023982,-0.029711,-0.003464
1,87.5,988290,0.325611,0.3304,-11.544841,-0.002132,-0.000799,-0.03464,0.177171,-0.440533,-11.401189,-0.003331,-0.008127,-0.035573,-0.383072,-0.301669,-11.803414,-0.029711,0.033974,-0.023315,-0.536301,0.268151,-11.329363,-0.037172,0.020251,-0.003198
1,87.5,988359,0.521936,0.387861,-11.492168,-0.001732,0.002265,-0.028645,0.316035,-0.383072,-11.252748,-0.006795,0.011458,-0.031043,-0.282516,-0.354342,-11.310209,-0.040236,-0.018253,-0.017986,-0.517148,0.21069,-11.391612,-0.033308,-0.041168,-0.002798
1,87.0,988428,0.411803,0.349553,-11.722012,-0.010925,-0.040769,-0.03424,0.272939,-0.440533,-11.358093,-0.015855,-0.00493,-0.035839,-0.373495,-0.301669,-11.334151,-0.068747,-0.009593,-0.018519,-0.627281,0.282516,-11.133038,-0.018652,0.013456,-0.005995
1,87.0,988497,0.488417,0.387861,-11.449073,0.014655,0.015455,-0.031709,0.277727,-0.325611,-11.09473,-0.016387,0.010392,-0.034773,-0.282516,-0.373495,-11.501745,-0.024914,-0.00373,-0.024648,-0.536301,0.191536,-12.033257,-0.03091,-0.064351,-0.004796
1,86.5,988566,0.426168,0.397437,-11.597513,-0.014389,-0.033441,-0.032242,0.258574,-0.407014,-11.520899,-0.000133,-0.020384,-0.033175,-0.349553,-0.244209,-11.439496,-0.048763,0.01279,-0.017986,-0.565032,0.387861,-11.18571,-0.032775,0.023982,-0.00373
1,86.0,988635,0.402226,0.320823,-11.482592,0.047564,0.007727,-0.037305,0.244209,-0.407014,-11.176133,-0.008127,0.007727,-0.03917,-0.191536,-0.392649,-11.664551,-0.027179,-0.001998,-0.028245,-0.550666,0.258574,-12.004527,-0.045165,-0.041302,-0.005995
1,86.0,988704,0.378284,0.402226,-11.506534,-0.006528,-0.009193,-0.032375,0.201113,-0.383072,-11.386824,0.001865,-0.021317,-0.031443,-0.3304,-0.287304,-11.453861,-0.02225,0.050628,-0.023315,-0.651223,0.339977,-11.48738,-0.040902,-0.00906,-0.002798
1,86.0,988773,0.440533,0.311246,-11.884817,0.028245,-0.033175,-0.027179,0.153229,-0.344765,-11.09473,-0.03424,0.016521,-0.033574,-0.215478,-0.349553,-11.640609,-0.037704,0.032242,-0.02145,-0.560243,0.272939,-11.96622,-0.026247,0.001865,-0.0004
1,85.5,988842,0.301669,0.411803,-11.769896,-0.002265,-0.017453,-0.032642,0.11971,-0.311246,-11.233594,-0.007727,-0.007461,-0.033041,-0.292093,-0.296881,-11.405977,-0.033175,0.060887,-0.023182,-0.574608,0.287304,-11.549629,-0.036505,-0.006129,-0.004263
1,85.5,988911,0.363919,0.344765,-11.793838,-0.015855,-0.03464,-0.033041,0.004788,-0.531513,-11.147403,-0.046098,0.036772,-0.03877,-0.301669,-0.521936,-11.96622,-0.039969,-0.007994,-0.019585,-0.560243,0.201113,-11.951855,-0.020784,0.029977,-0.006395
1,85.0,988980,0.320823,0.397437,-11.707646,-0.001599,-0.005063,-0.033441,0.095768,-0.411803,-11.33894,-0.013456,0.022116,-0.036106,-0.268151,-0.373495,-11.769896,-0.06062,-0.034773,-0.021051,-0.555455,0.268151,-11.568783,-0.024515,0.005063,-0.004663
1,85.0,989049,0.526724,0.292093,-11.118672,0.010792,0.045698,-0.029844,0.258574,-0.407014,-11.233594,-0.03051,0.104853,-0.035839,-0.335188,-0.335188,-11.894394,-0.086867,-0.13856,-0.011724,-0.588974,0.301669,-12.133814,0.00413,-0.046897,-0.00373
1,85.0,989118,0.483629,0.445322,-11.439496,0.005729,0.02598,-0.029844,0.177171,-0.320823,-11.233594,-0.02558,0.055957,-0.033974,-0.416591,-0.349553,-11.745954,-0.045832,-0.067015,-0.019185,-0.574608,0.229843,-11.96622,-0.023315,-0.052626,-0.005729
1,85.0,989187,0.311246,0.368707,-11.463438,0.018119,0.018119,-0.032109,0.148441,-0.383072,-11.310209,-0.014522,0.019052,-0.034507,-0.42138,-0.368707,-11.908759,-0.022116,-0.000666,-0.022516,-0.641646,0.277727,-11.856087,-0.028778,-0.002931,-0.005729
1,85.0,989256,0.325611,0.35913,-11.650186,-0.002398,-0.014789,-0.033041,0.21069,-0.445322,-11.386824,-0.004263,-0.001199,-0.031842,-0.430956,-0.272939,-11.856087,-0.050361,0.004397,-0.019851,-0.612916,0.292093,-11.583148,-0.027979,0.016254,-0.003997
1,95.0,989325,0.311246,0.35913,-11.693281,-0.008793,-0.029844,-0.032775,0.201113,-0.397437,-11.343728,-0.00906,-0.007861,-0.032375,-0.445322,-0.277727,-11.69807,-0.06102,-0.008926,-0.018786,-0.574608,0.296881,-11.314998,-0.028245,0.019052,-0.002665
